X,Y
-578023.3168667584,86576.29513547334
-577695.8646942615,86363.48578005856
-578335.880981442,86786.53019398716
-578030.8651216455,86578.57922662611
-578033.6976009931,86579.11751443482
-578064.7175407773,86592.83628551557
-578032.1498839634,86581.44044985468
-577712.4781659095,86366.78957806245
-3590.123149861599,536.9101955640108
-577725.6869002503,86367.94407186456
-577711.8734808597,86365.0151577108
-577722.7170528494,86367.50009249136
-578348.530932506,86795.20892854316
-578358.9500152518,86802.63215369791
-578079.8070279369,86598.94292249098
