X,Y
0.10158719574394169,0.32005991651351157
0.5085992535206555,0.13087138282443134
0.4943108979710563,0.46881941808913785
0.3659476754296527,0.6441848273762566
0.0024497013889359536,0.6796980203167055
-0.6565063104068979,0.2731747289462486
-0.3048595405014662,0.3400088937655139
-0.3297361339127766,-0.19091952503572804
-0.3300584077287078,0.0992840919757807
-0.6728730703479165,0.002837974717090386
-0.6481764902810406,-0.33324091084084795
-0.004324356946797684,-1.0
0.511814179972585,-0.3445401033209681
0.917730107394246,-0.555930158536929
0.04409529870452979,-0.5343085567902032
