score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
6,34.254696728867785,27.446631908057626,25.99900139717337,32.0,69.84,29.281,16.360187435079848,15.748475335506098,93.36612235759529,839.9704727308814,140.5526414365695,49,7,13.054236002932708,15.63866950525108,0.9290521046422691,ER
1,16.025741909252865,444.71715542540034,79.1251111043656,32.0,43.421,26.283,6.017771545951405,8.730231658385195,36.25736182265516,7112.6730730853615,544.8127455550432,256,16,5.590634933874041,13.672247592237381,0.9721120094014111,ER
2,14.046420868114906,286.09152819118515,72.66673862678783,32.0,43.773,26.407,4.698319960793855,7.757320087579047,34.1441059823414,128607.34269772409,763.7213259316001,256,16,6.249308539998042,15.201617472280935,0.9844108015693629,ER
5,17.074752542323623,124.28978246293133,53.697688767787966,32.0,39.825,24.133,6.995671194816548,9.9536088559592,42.32812086966366,2144.4823737260804,306.52673026149523,441,21,6.765629913595426,15.659979609950899,0.9937202755146177,ER
4,15.0812184920564,165.22718798783222,62.14775640291821,32.0,55.718,28.348,5.385783862587123,8.818537087368115,35.43919036588798,107784.00329676302,810.3735813043307,289,17,7.337332770898438,15.879545037119005,0.9806170437732545,ER
3,14.865055909767925,399.07877121363884,79.48461418927428,32.0,34.898,24.475,5.839364320553994,8.888100321066597,31.42156926207794,27659.048767290187,729.4651353201687,676,26,7.593965368270876,13.750664286353812,0.9882454325951826,ER
6,31.783523120374102,34.137042077500695,28.7886971881547,32.0,56.429,26.526,5.988377888590232,8.406919446794134,61.23037280854862,144.86141145023922,96.36891825426264,1,1,7.787999327153756,8.903516818074538,0.9056408980292183,ER
1,16.025741909252865,444.71715542540034,79.1251111043656,32.0,43.421,26.283,5.049906506881518,6.6074032716863975,26.99027677053606,3526534.878119392,2249.432526207988,36,6,3.753433123292502,7.7451396543361835,0.9721120094014111,ER
5,14.046420868114906,286.09152819118515,72.66673862678783,32.0,43.773,26.407,2.832391051630214,5.431846174186493,26.871361284943603,1397.3669546158437,259.47141920630753,1,1,2.8133136990231913,8.297415818121895,0.9844108015693629,ER
3,17.074752542323623,124.28978246293133,53.697688767787966,32.0,39.825,24.133,5.711862456203018,7.887686286784043,29.849673727352535,7965.482606638797,330.12761580331767,400,20,3.4661945428477017,8.462146490231945,0.9937202755146177,ER
4,15.0812184920564,165.22718798783222,62.14775640291821,32.0,55.718,28.348,4.355629993052158,6.556610898347288,27.42537388631571,20601.551459062877,393.40750949233137,9,3,4.368045623823852,8.007561434068057,0.9806170437732545,ER
2,14.865055909767925,399.07877121363884,79.48461418927428,32.0,34.898,24.475,5.155986213800387,7.131701571619997,23.17265646251663,48492.02594529744,776.6106053983226,100,10,4.30110514824012,7.5141383000703375,0.9882454325951826,ER
