score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
5,45.907792574263375,123.25547203270847,58.447662516138536,40.0,45.565,28.445,5.038862488840905,5.334335825585852,32.31669799877543,333.1794956533291,100.52577402317691,1,1,9.332476037055399,1.4967232600201754,0.9179012488533742,RGG
6,57.53298976267008,508.65724371095587,63.29858506420855,40.0,129.655,43.375,0.9958651734079316,2.2591373475900047,58.73295703064784,60.773966001580824,47.80616244030795,0,0,13.525991063840792,2.0624359046260294,0.8899058300183725,RGG
1,22.936408989120082,760.6646631017807,136.1500533336798,40.0,50.083,32.393,2.649332306438825,3.8256680791564497,12.072281771983855,716144.912609891,1163.3023200210882,36,6,4.472770336495401,1.4789616600818305,0.9762054536919329,RGG
4,26.965521613515023,235.57422500737567,91.43029432441479,40.0,63.906,33.353,2.1909800211184165,3.422564509188827,19.821914015415707,738.4418400575476,151.29265445221677,4,2,5.757073071416424,0.9660058709377474,0.9915294762768663,RGG
3,25.004356433620956,290.80623581912596,101.16416147093051,40.0,63.767,34.453,2.791103124583427,4.0085387028722455,16.543718199263925,7189.4880631740825,311.02229041066505,25,5,4.093229403320156,1.7896381592593733,0.9779127842244579,RGG
2,23.399644760746696,1401.9694515441465,161.00034125878895,40.0,53.901,32.861,1.8725272142161211,2.692761965721569,16.521569817824513,20494.25078995972,453.41160809949497,1,1,5.741211470217522,1.5169638980448106,0.9897189494281853,RGG
3,41.22668684320063,113.14073085185142,61.881438546712765,40.0,39.747,26.265,1.6953318160300221,2.6040981642412975,21.231465407103336,6904.597942647962,151.46102913054796,1,1,2.2725696005365648,0.409981095666617,0.9588866137017615,RGG
6,56.98066181616716,86.63517390245723,49.96238069087577,40.0,126.095,43.113,0.42393269937266576,1.2730296686707525,37.24098283321863,88.15395474002435,41.070202302575865,0,0,4.31814559762557,0.37677368868087935,0.9510960244885741,RGG
2,22.936408989120082,760.6646631017807,136.1500533336798,40.0,50.083,32.393,2.234770091854708,2.6980293854053468,10.24931772848605,2458.5240578721805,189.45880441619582,0,0,1.6069582623227225,0.3778378652613397,0.9762054536919329,RGG
5,26.965521613515023,235.57422500737567,91.43029432441479,40.0,63.906,33.353,2.1610409949410103,2.805940619560794,12.453497382053843,611.9850236850533,116.47381298997563,0,0,1.074554015496129,0.41457632416433027,0.9915294762768663,RGG
